S6 Anteil;S4 Anteil;M100 Anteil;Penetration;Erweichungspunkt;;
0.79577695;0.20422305;0;12;71.8;6.8928;31.89179935
0.449340293;0.550659707;0;12;72.4;6.9504;32.97125748
0.453586211;0.546413789;0;13;72.2;7.5088;35.32581113
0.459235357;0.540764643;0;13;72;7.488;34.9360128
0.444866295;0.555133705;0;13;72.4;7.5296;35.71886227
0.444772985;0.555227015;0;13;72.4;7.5296;35.71886227
0.448518726;0.551481274;0;13;72;7.488;34.9360128
0.460138344;0.539861656;0;12;72.8;6.9888;33.70596483
0.441797877;0.558202123;0;13;71.6;7.4464;34.16610266
0.441790654;0.558209346;0;12;72;6.912;32.2486272
0.433098548;0.566901452;0;12;71.6;6.8736;31.53794092
0.38092398;0.509550547;0.109525474;12;71.4;6.8544;31.18703539
0.402136188;0.48628419;0.111579622;15;68;8.16;32.072064
0.44626429;0.445207595;0.108528114;18;65.8;9.4752;33.74240855
0.614353229;0.277845761;0.10780101;66;50.4;26.6112;42.58592465
0.638169187;0.259247929;0.102582884;62;50.2;24.8992;39.37372993
0.638156121;0.259382085;0.102461794;78;48;29.952;41.4056448
0.63498772;0.262944459;0.102067821;48;54;20.736;40.8146688
0.604760788;0.288115994;0.107123217;37;58.8;17.4048;44.22939801
0.592530944;0.303553232;0.103915824;20;65.2;10.432;36.14268216
0.775524519;0.109409195;0.115066286;187;40;59.84;47.872
0.892141933;0;0.107858067;186;40.4;60.1152;49.54940054
0.901144919;0;0.098855081;185;39.6;58.608;45.49382703
0.843720134;0;0.156279866;187;39.8;59.5408;46.92171689
0.900212869;0;0.099787131;185;39.8;58.904;46.41988035
0.900228613;0;0.099771387;182;40;58.24;46.592
0.900227854;0;0.099772146;182;39.4;57.3664;43.85875257
0.900225094;0;0.099774906;183;39.8;58.2672;45.91804381
0.89419786;0;0.10580214;195;39.4;61.464;46.99152061
0.895503398;0;0.104496602;192;39;59.904;44.4180672
0.895453247;0;0.104546753;189;39.8;60.1776;47.42355344
0.895418707;0;0.104581293;188;39.8;59.8592;47.17263517
0.895447039;0;0.104552961;200;40;64;51.2
0.895415519;0;0.104584481;183;39.8;58.2672;45.91804381
0.895365991;0;0.104634009;182;39.2;57.0752;42.97497731
0.895425247;0;0.104574753;173;40.4;55.9136;46.08627039
0.895984537;0;0.104015463;188;40;60.16;48.128
0.89599849;0;0.10400151;247;39.2;77.4592;58.32318349
0.895923783;0;0.104076217;186;39.6;58.9248;45.73973961
0.892556131;0;0.107443869;186;39.4;58.6272;44.82268119
0.892597278;0;0.107402722;183;40;58.56;46.848
0.892597278;0;0.107402722;188;40;60.16;48.128
0.892646361;0;0.107353639;182;39.8;57.9488;45.66712553
0.892601391;0;0.107398609;168;39.6;53.2224;41.3133132
0.892601391;0;0.107398609;187;40;59.84;47.872
0.893334031;0;0.106665969;188;40;60.16;48.128
0.893352775;0;0.106647225;174;40.8;56.7936;48.21585814
0.89514549;0;0.10485451;181;39.8;57.6304;45.41620726
0.892571147;0;0.107428853;177;40.4;57.2064;47.1518489
0.892258287;0;0.107741713;185;40.4;59.792;49.28300591
0.89200434;0;0.10799566;174;40;55.68;44.544
0.891911349;0;0.108088651;214;39.6;67.7952;52.62529181
0.885855532;0;0.114144468;212;40;67.84;54.272
0.895414832;0;0.104585168;169;40.4;54.6208;45.02069189
0.895395293;0;0.104604707;167;40.8;54.5088;46.2761397
0.897591338;0;0.102408662;168;40.4;54.2976;44.75429726
0.893068552;0;0.106931448;80;46.6;29.824;37.72538267
0.892945305;0;0.107054695;87;46.4;32.2944;40.32655983
0.893017348;0;0.106982652;136;42;45.696;42.3190656
0.890635109;0;0.109364891;138;42.2;46.5888;43.76519726
0.893019731;0;0.106980269;193;39;60.216;44.6494113
0.892967809;0;0.107032191;199;38.8;61.7696;45.10035691
0.892953496;0;0.107046504;195;39;60.84;45.1120995
0.892818198;0;0.107181802;182;39.4;57.3664;43.85875257
0.89300057;0;0.10699943;201;38.4;61.7472;43.70397659
0.843081191;0;0.156918809;194;39.6;61.4592;47.70704024
0.842063775;0;0.157936225;196;39.2;61.4656;46.2807448
0.842099054;0;0.157900946;190;39.6;60.192;46.72338993
0.843246218;0;0.156753782;195;39.4;61.464;46.99152061
0.84325853;0;0.15674147;186;39.4;58.6272;44.82268119
0.843262948;0;0.156737052;180;39.4;56.736;43.37678825
0.843267828;0;0.156732172;188;39;58.656;43.4926908
1;0;0;182;39;56.784;42.1046262
1;0;0;194;38.2;59.2864;41.30999873
1;0;0;192;38.6;59.2896;42.62363139
1;0;0;172;39.6;54.4896;42.29696351
1;0;0;165;40.2;53.064;43.09115715
0.950160637;0;0.049839363;185;38.6;57.128;41.06964483
0.95011461;0;0.04988539;167;40;53.44;42.752
0.950168296;0;0.049831704;227;37;67.192;42.5434547
0.950219499;0;0.049780501;98;43.8;34.3392;36.06803793
0.950219499;0;0.049780501;88;46;32.384;39.4016128
0.950219499;0;0.049780501;90;45.6;32.832;38.91364209
0.950219499;0;0.049780501;86;46.4;31.9232;39.86303615
0.950036834;0;0.049963166;88;46;32.384;39.4016128
0.949912209;0;0.050087791;89;45.6;32.4672;38.48126829
0.949948316;0;0.050051684;82;46;30.176;36.7151392
0.948872628;0;0.051127372;98;45.6;35.7504;42.37263249
0.949809808;0;0.050190192;94;45.6;34.2912;40.64313729
1;0;0;85;45.6;31.008;36.75177308
1;0;0;88;46;32.384;39.4016128
1;0;0;85;46.2;31.416;38.72458997
1;0;0;78;47.8;29.8272;40.71985184
1;0;0;79;46.8;29.5776;37.89749494
1;0;0;78;47;29.328;38.0615118
1;0;0;88;44.4;31.2576;34.1990902
1;0;0;84;46.2;31.0464;38.26900655
1;0;0;84;45.8;30.7776;36.96078598
1;0;0;105;44.2;37.128;40.07544712
0.780988368;0;0.219011632;195;39.2;61.152;46.04461855
0.781103633;0;0.218896367;199;39.8;63.3616;49.93273616
0.779718643;0;0.220281357;205;40;65.6;52.48
0.774207655;0;0.225792345;218;39.2;68.3648;51.47552227
0.773136449;0;0.226863551;278;38;84.512;57.9667808
0.773189345;0;0.226810655;205;39.4;64.616;49.40134218
0.771833635;0;0.228166365;171;40;54.72;43.776
0.771833635;0;0.228166365;152;41;49.856;42.9515672
0.771833635;0;0.228166365;170;40.4;54.944;45.28708652
0.771862194;0;0.228137806;184;40;58.88;47.104
0.779868996;0;0.220131004;189;40;60.48;48.384
0.779999592;0;0.220000408;196;39.6;62.0928;48.1988654
0.780872205;0;0.219127795;210;39;65.52;48.582261
0.776392313;0;0.223607687;200;39;62.4;46.26882
0.776555597;0;0.223444403;181;40;57.92;46.336
0.221933307;0.427646266;0.350420427;15;69.8;8.376;35.60516064
0.243232942;0.403709002;0.353058056;15;70.4;8.448;36.84528292
0.2144974;0.429129803;0.356372797;15;70;8.4;36.015
0.241547359;0.400649789;0.357802852;15;70.8;8.496;37.68983965
0.232770127;0.405286329;0.361943544;13;70.4;7.3216;31.93257853
0.227720762;0.407953638;0.3643256;13;70;7.28;31.213
0.209108343;0.334535402;0.456356255;16;67.6;8.6528;33.41233033
0.201408857;0.294014065;0.504577079;16;68;8.704;34.2102016
0.204150521;0.297539636;0.498309844;16;68.4;8.7552;35.02227788
0.201520233;0.29426556;0.504214207;13;69.8;7.2592;30.85780589
0.242848146;0.301647549;0.455504305;15;68;8.16;32.072064
0.264110038;0.281486577;0.454403385;16;66.4;8.4992;31.10228525
0.26024599;0.296481318;0.443272692;13;70.4;7.3216;31.93257853
0.196712839;0.328516987;0.474770174;12;70.4;6.7584;29.47622633
0.200649328;0.327038673;0.472311999;18;67.2;9.6768;36.70705963
0.205415876;0.326051358;0.468532766;18;65;9.36;32.131125
1;0;0;87;46.2;32.1552;39.63575679
1;0;0;89;45.4;32.3248;37.81058686
1;0;0;90;45.6;32.832;38.91364209
1;0;0;93;45.2;33.6288;38.81831571
0.823145666;0;0.176854334;208;39;64.896;48.1195728
0.822983459;0;0.177016541;208;39;64.896;48.1195728
0.822885275;0;0.177114725;185;39.4;58.312;44.58169904
0.822982897;0;0.177017103;173;40.6;56.1904;47.00566893
0.816461723;0;0.183538277;182;39.8;57.9488;45.66712553
0.816490349;0;0.183509651;190;39.4;59.888;45.78660982
0.807491685;0;0.192508315;184;39.8;58.5856;46.16896208
